2021-04-23 14:11:17,278  INFO | http-nio-8893-exec-10 | it.vinicioflamini.omt.payment.service.PaymentService   | Going to send a "PaymentReceivedEvent" for order 234 
2021-04-23 14:11:58,457  INFO | http-nio-8893-exec-1 | it.vinicioflamini.omt.payment.service.PaymentService   | Payment completed successfully for order 234 
2021-04-23 14:11:58,457  INFO | http-nio-8893-exec-1 | it.vinicioflamini.omt.payment.service.PaymentService   | Going to send a "PaymentReceivedEvent" for order 234 
2021-04-23 14:12:13,863  INFO | http-nio-8893-exec-4 | it.vinicioflamini.omt.payment.service.PaymentService   | Payment completed successfully for order 234 
2021-04-23 14:12:13,864  INFO | http-nio-8893-exec-4 | it.vinicioflamini.omt.payment.service.PaymentService   | Going to send a "PaymentReceivedEvent" for order 234 
2021-04-23 14:13:34,809  INFO | http-nio-8893-exec-5 | it.vinicioflamini.omt.payment.service.PaymentService   | Payment failed for order id: 234 
2021-04-23 14:13:34,809  INFO | http-nio-8893-exec-5 | it.vinicioflamini.omt.payment.service.PaymentService   | Going to send a "PaymentNotReceivedEvent" for order 234 
2021-04-23 14:13:37,005  INFO | http-nio-8893-exec-7 | it.vinicioflamini.omt.payment.service.PaymentService   | Payment failed for order id: 234 
2021-04-23 14:13:37,005  INFO | http-nio-8893-exec-7 | it.vinicioflamini.omt.payment.service.PaymentService   | Going to send a "PaymentNotReceivedEvent" for order 234 
2021-04-23 14:13:39,320  INFO | http-nio-8893-exec-8 | it.vinicioflamini.omt.payment.service.PaymentService   | Payment failed for order id: 234 
2021-04-23 14:13:39,320  INFO | http-nio-8893-exec-8 | it.vinicioflamini.omt.payment.service.PaymentService   | Going to send a "PaymentNotReceivedEvent" for order 234 
2021-04-23 14:13:41,447  INFO | http-nio-8893-exec-9 | it.vinicioflamini.omt.payment.service.PaymentService   | Payment failed for order id: 234 
2021-04-23 14:13:41,447  INFO | http-nio-8893-exec-9 | it.vinicioflamini.omt.payment.service.PaymentService   | Going to send a "PaymentNotReceivedEvent" for order 234 
